Day of date,customer,ab test group name,customer sensitive to VT,impressions,installs,spend,clickthrough install,viewthrough install,viewthrough conversion rate,clickthrough conversion rate,installs conversion rate,cost per impression
2-Sep-22,customer_1,control,False,10874240,3819,41172,3634,185,0.0017012683185215702,0.03341842740274263,0.0351196957212642,3.7861956329821673
2-Sep-22,customer_1,experiment,False,33278986,4202,41375,3266,936,0.002812585695970424,0.009814000943418168,0.012626586639388591,1.243277063790345
2-Sep-22,customer_2,control,False,32539366,3137,7611,2860,277,0.0008512765737353334,0.008789353793801637,0.00964063036753697,0.23390129973644846
2-Sep-22,customer_2,experiment,False,23954676,3189,7633,2843,346,0.0014443944055014563,0.011868246516880463,0.013312640922381918,0.31864342477435303
2-Sep-22,customer_3,control,False,30987321,3098,13638,2511,587,0.0018943231652713702,0.008103314255530512,0.009997637420801883,0.4401154911068304
2-Sep-22,customer_3,experiment,False,72669978,3935,13761,2218,1717,0.0023627363696188267,0.0030521544949415006,0.005414890864560327,0.1893629305901262
2-Sep-22,customer_4,control,True,4390678,3576,3964,3355,221,0.00503339119835251,0.07641188900666367,0.08144528020501618,0.9028218420936357
2-Sep-22,customer_4,experiment,True,3203384,3708,4006,3452,256,0.007991548936999123,0.10776104269734756,0.11575259163434667,1.250552540688222
2-Sep-22,customer_5,control,True,23046856,1496,16887,1136,360,0.0015620351860574822,0.004929088809336944,0.006491123995394426,0.7327246718597973
2-Sep-22,customer_5,experiment,True,18335527,1560,16991,1207,353,0.001925224183629955,0.006582848695867863,0.008508072879497819,0.9266709377919707
2-Sep-22,customer_6,control,False,4298980,271,4365,260,11,0.00025587464933542377,0.006047946257019107,0.0063038209063545295,1.0153571312264769
2-Sep-22,customer_6,experiment,False,3787547,284,4357,276,8,0.00021121850105094406,0.00728703828625757,0.0074982567873085135,1.150348761348704
2-Sep-22,customer_7,control,False,2997723,449,1277,413,36,0.001200911491822293,0.01377712350340575,0.014978034995228044,0.4259899930714079
2-Sep-22,customer_7,experiment,False,11467745,506,1275,365,141,0.0012295355364110381,0.0031828402183689992,0.004412375754780038,0.11118140488823217
2-Sep-22,customer_8,control,False,3015263,546,14653,501,45,0.0014924071299916458,0.01661546604724032,0.01810787317723197,4.859609261281686
2-Sep-22,customer_8,experiment,False,26159199,660,14844,403,257,0.000982445983915639,0.0015405670487081808,0.00252301303262382,0.5674485675192119
2-Sep-22,customer_9,control,False,4288801,467,14071,374,93,0.0021684382185137526,0.008720385954023049,0.0108888241725368,3.280870341151292
2-Sep-22,customer_9,experiment,False,3034993,459,14063,389,70,0.0023064303607949013,0.012817163004988807,0.01512359336578371,4.633618594836957
2-Sep-22,customer_10,control,False,2788047,430,7047,224,206,0.0073886846240396944,0.00803429784361598,0.015422982467655676,2.527575754641152
2-Sep-22,customer_10,experiment,False,7819735,2427,7240,71,2356,0.030128898229927228,0.0009079591571837152,0.03103685738711094,0.9258625771845209
2-Sep-22,customer_11,control,False,106578394,4126,12557,2339,1787,0.0016767000636170217,0.0021946286786794704,0.003871328742296492,0.11781937716194146
2-Sep-22,customer_11,experiment,False,123675978,4201,12636,2012,2189,0.0017699475964524007,0.0016268316875569803,0.003396779284009381,0.1021702047911034
2-Sep-22,customer_12,control,False,625047,701,2353,617,84,0.013438989387998024,0.09871257681422357,0.1121515662022216,3.7645169083284937
2-Sep-22,customer_12,experiment,False,1194528,668,2365,550,118,0.009878378740389509,0.04604329073910365,0.055921669479493154,1.979861501781457
2-Sep-22,customer_13,control,False,588367,23,316,23,0,0.0,0.003909124746969154,0.003909124746969154,0.5370797478444577
2-Sep-22,customer_13,experiment,False,450875,4,335,4,0,0.0,0.0008871638480731909,0.0008871638480731909,0.7429997227612974
2-Sep-22,customer_14,control,False,3204078,968,10255,815,153,0.00477516464954973,0.025436334571130915,0.030211499220680643,3.200608724257025
